transaction_id,order_id,timestamp,type,amount_inr,fee_inr,tax_inr,settled_amount_inr,status,method,exception_flag
pay_95822412,order_24942603,01-08-2026 23:17,PAYMENT,1232.01,24.64,4.44,1202.93,captured,upi,NO
pay_89254563,order_66629388,02-08-2026 00:05,PAYMENT,1101,22.02,3.96,1075.02,captured,wallet,NO
pay_39587039,order_70291817,19-08-2026 08:51,PAYMENT,4347.81,86.96,15.65,4245.2,captured,netbanking,NO
pay_30868105,order_38898923,11-08-2026 03:05,PAYMENT,1905.84,38.12,6.86,1860.86,captured,upi,NO
pay_71662963,order_81971316,04-08-2026 12:05,PAYMENT,2764.68,55.29,9.95,2699.44,captured,card,NO
pay_19335534,order_16150444,08-08-2026 09:05,PAYMENT,4278.04,85.56,15.4,4177.08,captured,netbanking,NO
pay_31831063,order_59684848,12-08-2026 06:42,PAYMENT,1342.22,26.84,4.83,1310.55,captured,card,NO
pay_81691040,order_42857966,06-08-2026 14:24,PAYMENT,1357.04,27.14,4.89,1325.01,captured,netbanking,NO
pay_17507864,order_40742311,02-08-2026 10:25,PAYOUT,1346.03,5,0.9,-1351.93,processed,netbanking,NO
pay_38538251,order_97971488,16-08-2026 12:56,PAYMENT,4573.59,91.47,16.46,4465.66,captured,netbanking,NO
pay_88461803,order_67503414,19-08-2026 12:23,PAYMENT,1104.41,22.09,3.98,1078.34,captured,upi,NO
pay_24716857,order_30514014,21-08-2026 05:50,PAYMENT,3405.6,102.16,12.26,3325.23,captured,wallet,YES
pay_81016525,order_43744231,18-08-2026 00:43,PAYMENT,3606.4,72.13,12.98,3521.29,captured,netbanking,NO
pay_24972279,order_49392920,14-08-2026 05:29,PAYMENT,26.19,0.52,0.09,25.58,failed,card,NO
pay_78139880,order_24282218,21-08-2026 09:53,PAYMENT,3198.36,63.97,11.51,3122.88,captured,upi,NO
pay_90388981,order_53507489,16-08-2026 00:07,REFUND,4646.2,92.92,16.73,-4646.2,refunded,netbanking,NO
pay_42138745,order_17774584,08-08-2026 18:05,PAYMENT,437.41,8.75,1.57,427.09,captured,card,NO
pay_27232410,order_98550256,16-08-2026 17:10,PAYMENT,1332.63,26.65,4.8,1301.18,captured,card,NO
pay_51837852,order_63551839,21-08-2026 11:28,PAYMENT,4499.07,89.98,16.2,4392.89,captured,upi,NO
pay_88961459,order_84346088,08-08-2026 18:14,PAYMENT,45.88,0.92,0.17,44.79,captured,upi,NO
pay_54349361,order_19510312,17-08-2026 07:17,PAYMENT,3348.2,66.96,12.05,3269.19,failed,wallet,NO
pay_42614537,order_73481353,14-08-2026 06:06,PAYMENT,493.68,9.87,1.78,482.03,captured,upi,NO
pay_97705310,order_96728778,04-08-2026 01:25,PAYMENT,3643.79,72.88,13.12,3557.79,captured,wallet,NO
pay_28814949,order_66623995,06-08-2026 08:29,PAYMENT,1256.53,25.13,4.52,1226.88,captured,upi,NO
pay_16789850,order_97529405,18-08-2026 00:05,PAYMENT,4632.57,138.98,16.68,4523.24,captured,card,YES
