transaction_id,order_id,timestamp,type,amount_inr,fee_inr,tax_inr,settled_amount_inr,status,method,exception_flag,merchant_id,store_id
pay_95822412,order_24942603,01-08-2026 23:17,PAYMENT,1232.01,24.64,4.44,1202.93,captured,upi,NO,flipkart,fk_delhi
pay_89254563,order_66629388,02-08-2026 00:05,PAYMENT,1101.0,22.02,3.96,1075.02,captured,wallet,NO,flipkart,fk_kolkata
pay_39587039,order_70291817,19-08-2026 08:51,PAYMENT,4347.81,86.96,15.65,4245.2,captured,netbanking,NO,flipkart,fk_kolkata
pay_30868105,order_38898923,11-08-2026 03:05,PAYMENT,1905.84,38.12,6.86,1860.86,captured,upi,NO,flipkart,fk_mumbai
pay_71662963,order_81971316,04-08-2026 12:05,PAYMENT,2764.68,55.29,9.95,2699.44,captured,card,NO,flipkart,fk_kolkata
pay_19335534,order_16150444,08-08-2026 09:05,PAYMENT,4278.04,85.56,15.4,4177.08,captured,netbanking,NO,flipkart,fk_bangalore
pay_31831063,order_59684848,12-08-2026 06:42,PAYMENT,1342.22,26.84,4.83,1310.55,captured,card,NO,flipkart,fk_kolkata
pay_81691040,order_42857966,06-08-2026 14:24,PAYMENT,1357.04,27.14,4.89,1325.01,captured,netbanking,NO,flipkart,fk_delhi
pay_17507864,order_40742311,02-08-2026 10:25,PAYOUT,1346.03,5.0,0.9,-1351.93,processed,netbanking,NO,flipkart,fk_delhi
pay_38538251,order_97971488,16-08-2026 12:56,PAYMENT,4573.59,91.47,16.46,4465.66,captured,netbanking,NO,flipkart,fk_kolkata
pay_88461803,order_67503414,19-08-2026 12:23,PAYMENT,1104.41,22.09,3.98,1078.34,captured,upi,NO,flipkart,fk_kolkata
pay_24716857,order_30514014,21-08-2026 05:50,PAYMENT,3405.6,102.16,12.26,3325.23,captured,wallet,YES,flipkart,fk_mumbai
pay_81016525,order_43744231,18-08-2026 00:43,PAYMENT,3606.4,72.13,12.98,3521.29,captured,netbanking,NO,flipkart,fk_mumbai
pay_24972279,order_49392920,14-08-2026 05:29,PAYMENT,26.19,0.52,0.09,25.58,failed,card,NO,flipkart,fk_kolkata
pay_78139880,order_24282218,21-08-2026 09:53,PAYMENT,3198.36,63.97,11.51,3122.88,captured,upi,NO,flipkart,fk_delhi
pay_90388981,order_53507489,16-08-2026 00:07,REFUND,4646.2,92.92,16.73,-4646.2,refunded,netbanking,NO,flipkart,fk_mumbai
pay_42138745,order_17774584,08-08-2026 18:05,PAYMENT,437.41,8.75,1.57,427.09,captured,card,NO,flipkart,fk_mumbai
pay_27232410,order_98550256,16-08-2026 17:10,PAYMENT,1332.63,26.65,4.8,1301.18,captured,card,NO,flipkart,fk_bangalore
pay_51837852,order_63551839,21-08-2026 11:28,PAYMENT,4499.07,89.98,16.2,4392.89,captured,upi,NO,flipkart,fk_delhi
pay_88961459,order_84346088,08-08-2026 18:14,PAYMENT,45.88,0.92,0.17,44.79,captured,upi,NO,flipkart,fk_kolkata
pay_54349361,order_19510312,17-08-2026 07:17,PAYMENT,3348.2,66.96,12.05,3269.19,failed,wallet,NO,flipkart,fk_mumbai
pay_42614537,order_73481353,14-08-2026 06:06,PAYMENT,493.68,9.87,1.78,482.03,captured,upi,NO,flipkart,fk_mumbai
pay_97705310,order_96728778,04-08-2026 01:25,PAYMENT,3643.79,72.88,13.12,3557.79,captured,wallet,NO,flipkart,fk_bangalore
pay_28814949,order_66623995,06-08-2026 08:29,PAYMENT,1256.53,25.13,4.52,1226.88,captured,upi,NO,flipkart,fk_mumbai
pay_16789850,order_97529405,18-08-2026 00:05,PAYMENT,4632.57,138.98,16.68,4523.24,captured,card,YES,flipkart,fk_bangalore
pay_63826716,order_17869910,06-08-2026 12:00,PAYMENT,4926.69,98.53,17.74,4810.42,captured,wallet,NO,flipkart,fk_delhi
pay_84593961,order_98834863,16-08-2026 04:12,PAYMENT,1490.57,29.81,5.37,1455.39,captured,netbanking,NO,flipkart,fk_mumbai
pay_17672593,order_16729990,19-08-2026 15:32,PAYMENT,4597.74,91.95,16.55,4489.24,captured,card,NO,flipkart,fk_mumbai
pay_19196777,order_89864260,03-08-2026 21:55,REFUND,1183.67,23.67,4.26,-1183.67,refunded,card,NO,flipkart,fk_mumbai
pay_87701200,order_89795010,02-08-2026 19:05,PAYMENT,2101.93,42.04,7.57,2052.32,failed,card,NO,flipkart,fk_delhi
pay_99889098,order_52169044,08-08-2026 08:25,PAYMENT,663.08,13.26,2.39,647.43,failed,upi,NO,flipkart,fk_bangalore
pay_11250299,order_71510041,20-08-2026 18:06,PAYMENT,375.57,7.51,1.35,366.71,failed,upi,NO,flipkart,fk_kolkata
pay_42787299,order_59597086,10-08-2026 05:28,PAYMENT,4170.39,83.41,15.01,4071.97,failed,upi,NO,flipkart,fk_kolkata
pay_99639081,,10-08-2026 21:06,PAYMENT,4695.26,93.91,16.9,4584.45,captured,card,YES,flipkart,fk_mumbai
pay_46553958,order_47816686,20-08-2026 06:45,REFUND,1720.97,34.42,6.2,-1720.97,refunded,wallet,NO,flipkart,fk_bangalore
pay_43704923,order_16818112,03-08-2026 20:27,PAYMENT,4148.45,0.0,0.0,4148.45,captured,netbanking,NO,flipkart,fk_kolkata
pay_31687165,order_69302158,18-08-2026 22:27,PAYOUT,2808.93,5.0,0.9,-2814.83,processed,card,NO,flipkart,fk_mumbai
pay_83227889,order_14835614,12-08-2026 18:35,PAYMENT,748.99,14.98,2.7,731.31,captured,upi,NO,flipkart,fk_mumbai
pay_58024342,order_38195995,08-08-2026 21:06,REFUND,1774.86,35.5,6.39,-1774.86,refunded,card,NO,flipkart,fk_bangalore
pay_41774346,order_31810617,06-08-2026 13:01,PAYMENT,905.01,18.1,3.26,883.65,captured,card,NO,flipkart,fk_bangalore
pay_45810056,order_31367172,04-08-2026 12:55,PAYMENT,203.24,4.06,0.73,198.45,failed,netbanking,NO,flipkart,fk_delhi
pay_50962024,order_40547349,08-08-2026 00:42,REFUND,973.72,19.47,3.5,-973.72,refunded,netbanking,NO,flipkart,fk_delhi
pay_57130035,order_96098221,17-08-2026 12:43,PAYOUT,4905.94,5.0,0.9,-4911.84,processed,upi,NO,flipkart,fk_kolkata
pay_45059710,order_33966966,19-08-2026 08:02,PAYMENT,550.93,11.02,1.98,537.93,captured,upi,NO,flipkart,fk_bangalore
pay_61700055,order_87388337,07-08-2026 08:02,PAYOUT,3546.84,5.0,0.9,-3552.74,processed,card,NO,flipkart,fk_kolkata
pay_58884978,order_67887757,03-08-2026 21:58,REFUND,1657.7,33.15,5.97,-1657.7,refunded,netbanking,NO,flipkart,fk_bangalore
pay_78064830,order_51511484,14-08-2026 10:25,PAYMENT,3489.07,69.78,12.56,3406.73,captured,wallet,NO,flipkart,fk_bangalore
pay_33357554,,19-08-2026 09:25,PAYMENT,2744.21,0.0,0.0,2744.21,captured,netbanking,YES,flipkart,fk_bangalore
pay_72409658,order_69295515,15-08-2026 21:13,PAYOUT,2560.76,5.0,0.9,-2566.66,processed,card,NO,flipkart,fk_bangalore
pay_98429450,order_21381064,10-08-2026 16:42,REFUND,3168.37,63.37,11.41,-3168.37,refunded,card,NO,flipkart,fk_bangalore
pay_51663795,order_40150759,07-08-2026 04:01,PAYMENT,240.61,4.81,0.87,234.93,captured,wallet,NO,flipkart,fk_kolkata
pay_65625330,order_94525678,19-08-2026 06:45,PAYMENT,3484.81,69.7,12.55,3402.56,captured,upi,NO,flipkart,fk_bangalore
pay_24305904,order_67062156,08-08-2026 05:51,PAYMENT,4790.25,95.81,17.25,4677.19,captured,upi,NO,flipkart,fk_delhi
pay_71265269,order_27896471,15-08-2026 21:33,PAYOUT,4939.58,5.0,0.9,-4945.48,processed,wallet,NO,flipkart,fk_mumbai
pay_92228802,order_77750178,14-08-2026 17:28,PAYMENT,4487.07,89.74,16.15,4381.18,disputed,card,YES,flipkart,fk_bangalore
pay_95585469,order_47220099,17-08-2026 15:40,PAYMENT,1203.84,24.08,4.33,1175.43,captured,netbanking,NO,flipkart,fk_mumbai
pay_52910691,order_82498004,03-08-2026 04:09,PAYMENT,1163.99,23.28,4.19,1136.52,captured,wallet,NO,flipkart,fk_kolkata
pay_54410148,order_82828034,15-08-2026 13:03,PAYOUT,1042.1,5.0,0.9,-1048.0,processed,upi,NO,flipkart,fk_delhi
pay_87267850,order_61053877,16-08-2026 00:22,REFUND,1500.08,30.0,5.4,-1500.08,refunded,wallet,NO,flipkart,fk_bangalore
pay_82238741,order_83300637,20-08-2026 07:31,PAYMENT,1104.91,22.1,3.98,1078.83,captured,wallet,NO,flipkart,fk_mumbai
pay_amz_10000000,order_amz_20000000,01-08-2026 00:00,PAYMENT,2185.43,43.71,7.87,2133.85,captured,upi,NO,amazon,az_delhi
pay_amz_10000001,order_amz_20000001,02-08-2026 07:13,PAYMENT,4778.21,95.56,17.2,4665.45,captured,card,NO,amazon,az_mumbai
pay_amz_10000002,order_amz_20000002,03-08-2026 14:26,PAYMENT,3793.97,75.88,13.66,3704.43,captured,netbanking,NO,amazon,az_bangalore
